Transcript	CNT.21	CNT.28	CNT.35	CNT.42	CNT.49	CNT.56	CNT.63	CNT.70
Sobic.003G281200	80.0412132827608	135.924704121904	88.9464362998179	99.7118449428008	51.5219731523673	101.788065735508	82.8588995065608	80.7278042432397
Sobic.003G423200	39.5180999109938	37.61123163578	28.1316726625924	42.2285796368112	37.031418203264	45.5044917015957	66.2253212285776	58.9446411212257
Sobic.003G060800	12.0290617599031	6.21774486992551	2.05079933249327	1.98665013638595	0	6.84396429650036	14.61751969324	3.28352199062741
Sobic.002G422300	84.9090432463306	133.254748724198	93.618832561145	68.8389263661638	38.6414798642755	164.474718663839	202.11816039584	136.05873109503
Sobic.003G253500	259.934778514653	222.997434416973	307.98341457045	383.368426331522	299.471468948135	504.774500474282	430.970838044355	338.409939387317
Sobic.002G290900	5.66941915192038	3.85255188844604	4.10159866498654	4.6745242442092	4.83018498303444	2.83180115819887	1.56846088985707	1.50178199281773
Sobic.004G161200	82.8603884014641	33.4660683891629	75.6151656067149	67.1615102396603	62.7924047794477	79.0397473485002	89.2614417260615	108.579203559741
Sobic.003G067300	1289.86966278961	1021.91541596488	990.345828424849	1109.90720204637	935.445825047669	1161.01597358331	1598.70181816577	1466.48163880934
Sobic.004G237100	1074.24770204056	1161.41319763994	1142.83316069533	1055.19982013631	1167.29470423332	1045.68508405305	902.727419176109	1007.34004399679
Sobic.002G375300	1622.43718081235	1408.02610869755	1670.8021244251	1490.51342344794	1796.82881368881	1405.28502866938	1329.1245634229	1486.55171713363
Sobic.001G240400	215.369980622801	230.349171545414	239.204161952635	174.907798020088	260.82998908386	170.777180586156	130.92523330699	180.52835875524
Sobic.005G010100	0	4.14516324661701	8.7169226900599	1.3242964693667	0	0.577153432037723	0.864887935630777	0
Sobic.009G049300	4087.31971681079	3315.28527253394	4311.17441527389	3860.04746118024	3899.5693429698	4385.20530275766	4068.30496960927	4409.7095308654
Sobic.008G028700	1149.13911395722	1821.28085499114	1525.33136239227	1183.05280882193	1299.31976043626	1385.24487628926	1087.24931513969	1063.37658177089
Sobic.010G221400	862.929544345817	671.894114716517	909.625316962034	832.502381764459	822.741508776866	673.83303564871	678.75401641124	700.024137646994
Sobic.005G045700	548.463908915302	553.147437355479	723.954983163905	611.927175214721	700.376822539993	475.147848688978	573.988057861233	588.217665402123
Sobic.010G208300	22.3695146553442	5.62037109552771	29.0529318693994	21.1519275288082	27.3710482371951	15.8606994312096	9.34716289345696	10.1686537560355
Sobic.004G234600	8.20691684070672	12.4476407979069	6.77898421297883	8.72433253180171	8.05030830505739	8.48211611637309	11.0913132472482	8.39372771566608
Sobic.002G280800	52.8045965213666	32.3199250725908	60.4977684212542	33.1050315129111	30.5911715592181	23.7757575343175	41.6411471314359	32.9141247332041
Sobic.010G194900	2471.26086174472	1904.5143301607	2232.97986497314	2734.79992081356	2088.24997433189	3305.31867202291	2932.72622460193	2462.48778484434
Sobic.003G417800	17.2489693294576	22.4936354401667	24.1259657908713	26.2179459031259	25.7609865761837	37.2847892232547	31.501040422894	14.6849823807619
Sobic.007G173200	1999.34846664992	1151.0502895234	2592.06587493939	1907.09340929912	1951.39473314591	2259.26004952667	2511.50336288496	2161.95852250284
Sobic.003G324500	24.7729032310021	84.0980124811358	27.1571476203526	42.2216799041649	20.9308015931492	44.4549249020488	41.6782377713558	30.0717433324981
Sobic.007G181500	77.194531811497	135.704999112069	60.2723543054953	139.579777560457	24.1509249151722	230.013235416576	238.152897808921	83.8535165800071
Sobic.006G109300	2282.28046090515	2134.39519298855	2036.29081357203	2049.81605961504	1969.10541141704	2230.77872312121	2299.07895480889	2440.29197450739
Sobic.007G149750	3.90968225387083	1.18259649073974	2.37304870111465	7.55954096005075	1.61006166101148	17.6612688574714	19.6978125465591	14.7817925082781
Sobic.006G084201	59.7704878126904	32.6003853727059	41.417794614137	47.3654388873187	30.5911715592181	70.4143652624435	64.1062606910384	62.7948930792772
Sobic.005G015450	1153.91160294778	924.309662740484	1229.31528512609	1012.51736371776	1121.40794689449	985.533260622279	865.370497117227	993.992753235028
Sobic.001G363500	2481.32809228497	3249.11799969067	2907.13660752644	2634.37495560058	3179.87178049767	3009.08850800648	2686.99750393269	2595.07283610594
Sobic.007G047900	16.0262813484484	27.5530859354643	14.0663080610947	13.9445995297761	8.05030830505739	24.4868980863619	16.5979814067648	10.9577832284785
Sobic.004G311400	2215.03723372429	2855.43126823795	2715.61871686995	2280.44552516249	2405.43212155115	2384.03168565211	1948.47610920523	1822.04334598452
Sobic.001G472600	6039.88158139053	5186.98838599557	7258.44401534196	6472.4718432471	7482.76156955085	8021.60565263294	7150.42842555082	7366.00957931839
Sobic.002G312800	489.825653244836	757.89459400818	539.591441000305	649.393629246363	658.515219353695	660.333971207207	694.179590805171	633.122563919017
Sobic.010G169200	37.5151104074345	12.435489739851	9.44670590540154	1.32470733403851	0	0.55748219491237	0	0
Sobic.004G066600	1550.27547841245	1134.56684500137	1344.14613085815	1129.67484170712	1291.26945213121	1326.72595483975	1390.16999365512	1401.28939347603
Sobic.006G012400	928.094682061967	790.226670138826	1080.29369639469	897.85186379143	1061.03063460656	729.454319794074	673.99628880035	780.564592108279
Sobic.007G193300	20.9389334028123	10.0702967583715	5.8626390013231	9.15551869567186	12.8804932880918	19.2550304937071	17.5378657207246	17.5943815074885
Sobic.007G213600	101.641229494408	185.057138248854	148.950311364356	156.050607010307	132.025056202941	161.961982900342	175.659435379959	183.94022408885
Sobic.007G144000	53.4994043695223	56.8496889618984	74.4123960699252	47.8391081708786	37.031418203264	71.7063707863965	86.9106875631706	69.1023122309881
Sobic.004G111000	808.33267245331	913.373682965655	1052.23801839712	918.555937732519	1030.43946304735	1023.81319206757	1004.69224646711	1066.73655321985
Sobic.006G159100	5.68582845300726	35.5386500124714	5.54038963270173	12.9296220370664	1.61006166101148	13.0403298612988	29.3645531450418	6.76900161395296
Sobic.010G097400	70.3535808491148	61.0070032665712	75.4484030513384	89.0445779883183	90.1634530166428	108.579103230858	108.838153896816	90.9415104327496
Sobic.010G241400	29.0865471189249	13.9349997048735	8.48962165510701	12.074971171316	4.83018498303444	17.6479814992479	21.9751358077196	17.6613992335092
Sobic.001G176900	106.411510088604	169.683383869238	121.906968059013	153.714124134158	128.804932880918	155.450054264618	190.991850252172	193.68158256359
Sobic.010G000800	1218.89939441158	1372.34066002357	1275.83591470063	1231.29187633208	1352.45179524964	1382.63353487709	1203.17832292131	1272.78817450181
Sobic.004G263900	1094.59569720081	1016.14923217268	1043.75029333713	952.721438701992	1093.23186782679	1075.26023956351	1099.93948940138	1170.26227319519
Sobic.007G166100	2895.81338228896	2836.17967388895	3916.28705873145	3444.12610105654	3904.39952795284	3383.59418267002	3442.29606172065	4114.28817522078
Sobic.010G116600	769.34420236283	1050.82318513352	798.44051690165	794.311454408635	936.250855878175	909.261077609674	820.549369478867	879.083553651363
Sobic.003G382300	175.381809321161	131.511231633228	193.702517060522	185.425293378916	130.41499454193	239.422585432521	219.342409511311	210.422570838095
Sobic.006G225800	46.8990498878431	67.4930573785559	54.9898691610171	82.1943933263667	86.9433296946198	76.8274181121215	145.945740466343	136.013787358429
Sobic.007G116150	4.56708710775938	1.18259649073974	3.77062890039255	0	4.83018498303444	1.14287527578732	1.07543088019095	3.52107283075234
Sobic.010G025850	1353.89468409331	2043.61966736102	1595.67831684206	1393.16749981453	1585.91073609631	1361.31081072171	1184.85935770885	1267.02539185932
Sobic.001G190000	239.565597238062	291.941397528328	255.1481776063	248.641818618917	254.389742439814	263.674474582043	243.493360396097	265.222360929887
Sobic.002G404700	6967.51063916854	8182.50167266009	8449.92579868766	6865.01273670889	7993.95614692199	7816.88788993334	6368.00062616583	6599.86003707208
Sobic.001G117800	3413.35185149888	4094.32374857326	4190.19858150759	3728.08699417323	4492.07203422202	3894.5711419481	4263.50332341613	4873.55132828071
Sobic.005G038700	24.8532000487765	25.7609646122708	27.9780727685414	27.619161251985	43.4716648473099	23.8329154757582	23.1686865138287	24.0493553292484
Sobic.007G028100	3332.01361966209	3131.99792542183	3707.56851067635	3116.01134579783	3369.05402566652	2457.3576097435	2656.39508543004	2776.28440322845
Sobic.002G039900	0	0	0	0	0	1.67244658473711	2.15086176038191	3.40229741068987
Sobic.006G250500	332.141852283252	508.075109068755	411.780655733965	446.487679812031	439.546833456134	510.741255614709	513.370984684163	469.561619719614
Sobic.002G305100	60.2674776106569	103.031707391027	70.0262599989987	55.745605817989	96.6036996606887	76.4264892451163	101.120002081118	101.410455369225
Sobic.006G004400	20.5058311215333	5.92513351175455	9.59158540347989	19.5575932518744	11.2704316270804	4.57469304260018	6.13524473541385	8.81290301304118
Sobic.010G257000	103.675403305475	233.006975885065	118.899084476225	95.8893434273624	90.9684838471485	125.589213655007	99.5235032566042	76.3859766355286
Sobic.004G252300	4.56708710775938	3.55994053027508	2.10992262267428	4.6745242442092	8.05030830505739	2.81212992107352	8.68976564460315	9.69355207578567
Sobic.001G288601	13.5097773528423	5.92513351175455	6.49794561279474	3.93484083302569	4.83018498303444	5.16327806292603	6.1208702528841	3.40229741068987
Sobic.001G441400	1172.46626540719	1322.02562940588	1207.67669953009	1198.84946148065	1349.23167192762	1273.27552484138	1120.62291157656	1204.22381298826
Sobic.003G022900	126.298476573649	139.131278003729	59.4103825236022	83.1186524742912	62.7924047794477	106.379238075783	89.2100483115087	44.2460308255834
Sobic.004G129600	769.170149523622	655.325612788105	755.154854573278	698.115831006267	821.131447115854	649.816782912503	689.691684669249	755.874096764127
Sobic.009G202000	99.6460929722758	47.9741397523225	65.7604541247946	57.1059815058456	48.3018498303444	73.9615381129774	86.9228248864064	46.0590866451142
Sobic.007G063200	1205.09141493474	846.429395129273	1330.4685864617	1238.79388004978	1337.96124030054	1201.84139985405	1223.42755720156	1388.21176799484
Sobic.001G144400	13.5973146875168	4.44992566284385	12.201598995117	19.2045585615121	14.4905549491033	37.6859340141791	39.3433448721793	20.3823599455454
Sobic.010G243200	2225.74027333195	2400.10830315187	2056.81050991843	2115.99841557062	1983.59596636614	2157.28072456033	2160.94695608404	2256.14138897688
Sobic.004G140000	43.3640100411705	55.3623300549318	30.1553673475708	38.7172035056658	20.9308015931492	80.6965312046584	56.183742154244	48.7503636525276
Sobic.007G163700	956.935103203604	906.71652807606	915.142023740077	1044.3625357363	1057.81051128454	1042.73779282835	1167.48012640705	1192.16134741091
Sobic.002G353200	18.9047595917458	28.443071068033	58.7295870130736	43.7014575912038	33.811294881241	30.0361845198784	54.4016143541465	47.93763677044
Sobic.004G074700	7.46197465214371	0	12.3460067633969	3.85751108886144	1.61006166101148	1.69716553124878	1.72977587126155	1.13182781774988
Sobic.009G177600	43.4169790860112	37.891691935895	33.2325098059077	41.4492041918661	40.251541525287	33.9316564049432	38.3398581125342	29.0136385013364
Sobic.007G137350	144.161904727128	251.379750194727	157.604611958479	217.485303700543	218.968385897561	198.306993097965	314.137853288661	270.383528591204
Sobic.001G475100	348.495539589558	408.664097498282	486.740715288271	479.148284430655	566.74170467604	433.157203480397	419.478334580854	455.137744987051
Sobic.002G202700	150.632608114505	373.53956942454	85.3336854240961	162.949048960699	38.6414798642755	301.379411938115	261.748774727436	163.838875901377
Sobic.002G293000	1965.4689968009	1022.73249474911	1776.14933907775	1295.07577063994	1098.06205280983	1639.57977843159	1634.1112455652	1682.91304890999
Sobic.002G165700	465.78647975793	517.596636284952	423.894283332525	403.732583094255	457.25751172726	577.290293661418	519.44119792557	566.587856924085
Sobic.002G343300	1356.02518625094	1205.7049003166	1497.89618696647	1341.30093005976	1424.90456999516	1309.99566513266	1302.36047244463	1222.26229905897
Sobic.010G222400	44.0625590309063	40.2811870334862	70.1131238012261	50.2516881971757	70.842713084505	63.3957352021702	72.4385428922066	92.9262212147665
Sobic.007G226600	540.508360040835	319.872152228354	581.525548883121	569.792852802865	466.917881693329	548.308082482918	565.285443862992	562.340010829188
Sobic.001G534700	4572.60039190363	6395.20626391997	4686.06219910714	4765.14154700847	5134.4866369656	6314.14228355943	4762.04009632471	4211.59383966776
Sobic.002G168400	6.04780270069863	4.74253702101482	10.4904898231904	6.54538519668468	12.8804932880918	13.5667092307977	14.5539172475546	10.5946430108508
Sobic.003G286000	3.82672931128976	10.6676705327693	7.21900843216373	8.53203533307064	4.83018498303444	16.9134581702073	22.9006456391496	16.2003922884601
Sobic.004G190900	54.3354464547132	55.6792435292145	83.2824306430209	37.3168098861503	56.3521581354018	42.9598231279406	63.30348492615	71.9938060571286
Sobic.004G241200	691.68802910708	704.347701427723	514.340553371866	652.467437375785	376.754428676686	817.568777166871	690.670419260867	528.962770159613
Sobic.010G079800	24.8750685857868	18.6775367258883	25.4373180524533	20.9183373210155	26.5660174066894	45.1969118332092	53.1475134601352	32.6098113014169
Sobic.001G226000	1702.47963000444	2136.42771082073	1781.41599796198	2035.46133615933	2386.11138161901	2481.12670051809	2263.47176725635	2540.12074651318
Sobic.002G236600	81.574719340914	71.1259042571664	105.537034307086	81.2206663593314	59.5722814574247	117.407055258826	173.381440436103	118.740247600573
Sobic.006G220000	1273.20511227383	1189.84313168509	1244.52169927923	1123.70059600122	1146.36390264017	1270.6871004402	1163.40307887806	1153.46072756776
Sobic.003G003800	839.121581612977	876.421566359382	1198.50908985673	1145.95211930088	1312.20025372435	1019.25258915759	1027.9026816419	1024.85391891494
Sobic.008G020700	184.547167844186	91.2421956577975	168.195599975021	140.579722993858	133.635117863953	127.46935539236	132.16212258438	90.8457134567424
Sobic.006G173500	222.936629768226	213.780669617003	183.742721659565	226.162718568039	195.622491812895	182.898516196719	192.644392585811	211.533956783524
Sobic.006G212900	1060.03924646146	1003.42113107466	1127.79219446887	1057.94151164109	1212.37643074164	1091.30793396063	1200.39957723028	1323.83854048945
Sobic.010G205900	246.274251961609	386.755684774457	405.803203833169	467.313349851718	673.005774302798	577.98586594529	671.786708197702	684.914472037897
Sobic.009G087800	1357.92857174458	1400.03955865571	1842.96959083485	1560.0586821893	1663.19369582486	1716.14831876858	1580.43057317273	1633.94543437714
